Order #,PO #,Order Method,Order Placed By,Date/Time Placed,Ordering Store,Ship To Name,Ship To Address,Customer PO #,Order Status,Updated,Estimated Ship Date,Delivery From,Ship By,Type,Shipping Account,Same Day Ship,Freight Fee Type,Line Count,SKU,UPC,Model,Short Product Description,Qty Ordered,Qty Allocated,Qty Cancelled,Qty Filled,Suggested Retail,Your Retail,Cost,Ext Cost,Future Reserve,Promo/Bulletin,POG Number,Item Status
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204544,00084100004410,RV-50-0,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Zero,10,0,0,0,1.79,1.79,0.478,4.78, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,248827,00029069106867,ST-4,"Hy-Ko 4 In. Letter, Number & Symbol Stencil Set",6,0,0,0,7.99,7.99,2.88,17.28, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204706,00084100004571,RV-50F,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, F",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204927,00084100004748,RV-50X,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, X",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,241865,00029069230074,23007,"Hy-Ko Plastic Sign, Private Drive",5,0,0,0,7.49,7.49,2.434,12.17, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204722,00084100004595,RV-50H,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, H",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,213512,00029069309619,30651-5,Hy-Ko 4 In. Reflective Plastic Number 1,5,0,0,0,2.49,2.49,0.898,4.49, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,247317,00029069009069,TP-3R,Hy-Ko 1 In. x 6 In. Red Reflective Safety Tape Strips (3-Count),5,0,0,0,4.29,4.29,1.7,8.5, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204714,00084100004588,RV-50G,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, G",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,241811,00029069230012,23001,"Hy-Ko Plastic Sign, Beware Of Dog",5,0,0,0,7.49,7.49,2.434,12.17, - ,4972,20-451,145
