Order #,PO #,Order Method,Order Placed By,Date/Time Placed,Ordering Store,Ship To Name,Ship To Address,Customer PO #,Order Status,Updated,Estimated Ship Date,Delivery From,Ship By,Type,Shipping Account,Same Day Ship,Freight Fee Type,Line Count,SKU,UPC,Model,Short Product Description,Qty Ordered,Qty Allocated,Qty Cancelled,Qty Filled,Suggested Retail,Your Retail,Cost,Ext Cost,Future Reserve,Promo/Bulletin,POG Number,Item Status
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:30,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,993336,00037193147359,4427776540,Siffron 2 In. Quad Wire Label Release Label Holder,17,0,17,0, - , - ,0,0, - , - ,30-872,000
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,360466,00199167006960,VH105 2001,Channellock 1.5 Gal. 2.0-Peak HP Wall Mount Wet/Dry Vacuum,2,0,0,0,49.99, - ,27.649,55.298, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,380122,00199167006984,VOC507PF 2001,Channellock 5 Gal. 3.0-Peak HP Wet/Dry Vacuum,1,0,0,0,79.99, - ,46.201,46.201, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353799,00009326326702,VDBM.CL,Channellock Paper Standard 8 to 10 Gal. Filter Vacuum Bag (3-Pack),2,0,0,0,21.49, - ,6.77,13.54, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,317088,00199167007042,VJH1211PF 2001,Channellock Pro 12 Gal. 6.0-Peak HP Wet/Dry Vacuum,1,0,0,0,139.99, - ,88.654,88.654, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300455,00009326329390,VRC2.CL,Channellock Cloth Standard Vacuum Filter (3-Pack),2,0,0,0,11.29, - ,4.382,8.764, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,365303,00009326329109,V1H6.CL,Channellock 1-1/4 In. Dia. x 6 Ft. L. Black Plastic Wet/Dry Vacuum Hose with Adapters,1,0,0,0,24.99, - ,7.554,7.554, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300941,00009326329499,V78A.CL,Channellock 1-1/4 In. to 1-7/8 In. Polypropylene Vacuum Tool Adapter,1,0,0,0,13.49, - ,3.918,3.918, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,365300,00009326329093,V1EW.CL,Channellock 1-1/4 In. x 19 In. L. Plastic Wet/Dry Vacuum Extension Wand (2-Pack),1,0,0,0,19.49, - ,6.498,6.498, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,501592,00009326515229,AM201 2001,Channellock 3-Speed 3-Position 550 CFM Air Mover Blower Fan,1,0,0,0,109.99, - ,43.843,43.843, - , - ,30-872,145
