"SKU","Short Description","Vendor Number","Vendor Name","Model Number","Primary UPC","UOM","Max Qty","Retail Price","Retail Margin","Member Retail","Mult 1","Cost of Mult 1","Mult 2","Cost of Mult 2","Mult 3","Cost of Mult 3","Salecode","Performance Units","Performance Dollars","Page Number","Promo Retail","Promo Mult 1","Promo Cost of Mult 1","Promo Mult 3","Promo Cost of Mult 3","Status","Substitutes","Alternate UPC","UPS","Sensitivity","Name","Long Description","length","color","Country of Origin","Prod Class_Category Description","Prod Class Category ID","Prod Class_Department Description","Prod Class Department ID","Prod Class_Product Group Description","Prod Class Product Group ID","Prod Class_SubCategoryDescription","Prod Class SubCategory ID","Brand","Primary Central Stock Warehouse","Secondary Central Stock Warehouse"
"496069","14X24X1 BASIC FILTER","5293","3M","FPL23-2PK-24","00051141359984","Box","","5.99","41.469","","24","3.506","","","","","","D","E","","","","","","","Promotional","","50051141359989,70051141359983","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"495639","18X24X1 BASIC FILTER","5293","3M","FPL21-2PK-24","00051141387666","Box","","5.99","41.469","","24","3.506","","","","","","D","E","","","","","","","Promotional","","50051141387661,70051141387665","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"494342","12X24X1 BASIC FILTER","5293","3M","FPL20-2PK-24","00051141359991","Box","","5.99","41.469","","24","3.506","","","","","","E","E","","","","","","","Promotional","","50051141359996,70051141359990","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"491908","12X20X1 BASIC FILTER","5293","3M","FPL19-2PK-24","00051141360003","Box","","5.99","41.469","","24","3.506","","","","","","E","E","","","","","","","Promotional","","50051141360008,70051141360002","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"491244","24X24X1 BASIC FILTER","5293","3M","FPL12-2PK-24","00051141387680","Box","","5.99","41.469","","24","3.506","","","","","","D","E","","","","","","","Promotional","","50051141387685,70051141387689","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"489685","14X14X1 BASIC FILTER","5293","3M","FPL11-2PK-24","00051141387635","Box","","5.99","41.469","","24","3.506","","","","","","E","E","","","","","","","Promotional","","50051141387630,70051141387634","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"481352","12X12X1 BASIC FILTER","5293","3M","FPL10-2PK-24","00051141387628","Box","","5.99","41.469","","24","3.506","","","","","","E","E","","","","","","","Promotional","","50051141387623,70051141387627","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"478618","10X20X1 BASIC FILTER","5293","3M","FPL07-2PK-24","00051141387611","Box","","5.99","41.469","","24","3.506","","","","","","D","E","","","","","","","Promotional","","50051141387616,70051141387610","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"475809","15X20X1 BASIC FILTER","5293","3M","FPL06-2PK-24","00051141387642","Box","","5.99","41.469","","24","3.506","","","","","","D","D","","","","","","","Promotional","","50051141387647,70051141387641","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
"470308","20X30X1 BASIC FILTER","5293","3M","FPL22-2PK-24","00051141387673","Box","","5.99","41.469","","24","3.506","","","","","","E","E","","","","","","","Promotional","","50051141387678,00051141390505,50051141390500,70051141390504,70051141387672","true","High Awareness","Filtrete Residential MPR Flat Panel Furnace Filter","Filtrete Basic Air Filters capture large airborne particles. Available as pleated or flat panels, these non-electrostatic home air filters capture lint and household dust.","","","Mexico","Air Filters","E8S7","Heating, Ventilation & Air Conditioning","HVAC","Furnace Filter","4787","Air & Furnace Filters","91C6","Filtrete","",""
