Promotion Name: April Digital and Ecommerce,,,"Original Order Start: December 17, 2025",,,,
"Start Date: April 1, 2026",,,"Original Order Deadline: January 21, 2025",,,,
"End Date: April 30, 2026",,,"Reorder Start: March 25, 2026",,,,
Sale Code: GN,,,"Reorder Deadline: May 12, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GN,,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promotional Price,Promo Member Cost,Instant Rebate Amount
104018,10.1OZ BIGE TXTRD MORTAR,DAP INC,DAP,$10.99,$6.99,$5.369,
105686,GREEN DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.580,
109117,STONE DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.580,
111030,10.1OZ GRY TXTRD MORTAR,DAP INC,DAP,$10.99,$6.99,$5.369,
114977,BLK DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.580,
119342,WHITE DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.580,
119350,BROWN DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.580,
132095,1/2HP GENIESENSE OPENER,Genie Company,Genie,$219.99,$169.99,$153.935,
261211,12OZ HOME SEAL FOAM SLNT,Dap Products Inc,DAP,$8.19,$5.99,$4.700,
264760,10 GR SLF LEVEL SEALANT,SIKA CORPORATION,Sika,$9.99,$7.99,$5.918,
265152,20OZ GAP&CRCK FM SEALANT,DuPont,GREAT STUFF,$12.99,$9.99,$8.485,
266353,3LB RDMIX JOINT COMPOUND,DAP INC,DAP,$12.99,$6.99,$5.473,
300199,6LB FBRGLS HANDLE MAUL,Channellock Products,Channellock,$52.99,$36.99,$25.443,
300439,2.5GAL WET/DRY VAC,DO IT BEST GS,Channellock,$42.99,$39.99,$26.179,
300625,7PC TORX BIT SET,BLACK DECKER DEWALT,DEWALT,$12.99,$10.99,$7.762,
312947,MICRO PRECISE SUPER GLUE,GORILLA GLUE CO,Gorilla,$7.99,$4.99,$4.478,
313071,4PC SCREWDRIVER SET,MILWAUKEE TOOL,Milwaukee,$45.99,$34.97,$27.392,
314852,20V 30DEG FRM NAILER KIT,BLACK DECKER DEWALT,DEWALT,$549.99,$549.00,$453.189,
319432,5.5G MICRO GEL GLUE,GORILLA GLUE CO,Gorilla,$7.99,$4.99,$4.478,
320076,1/4 SHEET PALM SANDER,BLACK DECKER DEWALT,DEWALT,$74.99,$69.99,$61.655,
341704,PACKOUT BACKPACK,MILWAUKEE TOOL,Milwaukee,$144.99,$139.97,$102.153,
350312,60X20 HVY DTY WORKBENCH,Channellock Products,Channellock,$369.99,$299.99,$246.971,
361049,CHANNELLOCK 8LB MAUL,Channellock Products,Channellock,$44.99,$32.99,$27.594,
363944,LOCKBACK UTILITY KNIFE,Channellock Products,Channellock,$21.99,$14.99,$12.930,
364153,25' TAPE MEASURE,Channellock Products,Channellock,$12.99,$7.49,$5.287,
364947,20V RECIPROCATING SAW,BLACK DECKER DEWALT,DEWALT,$299.99,$279.99,$255.403,
385549,6PC RECIP BLADE SET,BLACK DECKER DEWALT,DEWALT,$11.99,$10.99,$9.628,
387452,13-IN-1 SCREWDRIVER,MILWAUKEE TOOL,Milwaukee,$19.99,$14.97,$12.229,
463300,"4""X8' CLR WATERPRF TAPE",GORILLA GLUE CO,Gorilla,$16.99,$13.99,$10.841,
499924,10 FT PATCH & SEAL TAPE,GORILLA GLUE CO,Gorilla,$16.99,$13.99,$10.841,
500172,4PK 60W A19 MED LED BULB,Philips Signify Co,Philips,$12.99,$10.79,$9.929,
500247,4PK 60W A19 MED LED BULB,Philips Signify Co,Philips,$12.99,$10.79,$9.929,
501595,4PK 60W A19 SW LED BULB,Philips Signify Co,Philips,$8.29,$5.79,$5.246,
501598,4PK 60W A19 DL LED BULB,Philips Signify Co,Philips,$8.29,$5.79,$5.246,
503016,280L CONNECTOR HEADLAMP,LB Marketing Inc.,Police Security,$12.99,$9.99,$7.678,
508726,4PK AA LTHM ION BATTERY,Pale Blue,Paleblue,$29.99,$28.99,$20.574,
515753,"18""X1.5"" H&H CINCH STRAP",Wrap-It Storage,Wrap-It Storage,$7.99,$5.99,$5.265,
516774,7-DAY OUTDOOR TIMER,Prime Wire and Cable,Prime,$24.99,$14.99,$13.194,
518585,4PK AAA LTHM ION BATTERY,Pale Blue,Paleblue,$24.99,$23.99,$17.141,
519449,"24""X2"" H&H CINCH STRAP",Wrap-It Storage,Wrap-It Storage,$8.99,$6.99,$6.020,
529532,2000L RCH LED FLASHLIGHT,NEBO ACG Brands,Nebo,$54.99,$29.99,$25.216,
530367,1000LM RCH FLASHLIGHT,Channellock Products,Channellock,$49.99,$39.99,$23.414,
536857,4-OUTLET MTL POWER STRIP,Woods Wire Southwire,Yellow Jacket,$27.99,$19.99,$15.565,
539581,2000LM RCH FLASHLIGHT,Channellock Products,Channellock,$64.99,$49.99,$33.390,
