Promotion Name: June Digital and Ecommerce,,,"Original Order Start: February 16, 2026",,,
"Start Date: June 1, 2026",,,"Original Order Deadline: March 20, 2026",,,
"End Date: June 30, 2026",,,"Reorder Start: May 22, 2026",,,
Sale Code: HA,,,"Reorder Deadline: July 9, 2026",,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:HA,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promo Retail,Promo Member Cost
796259,6OZ WALNUT WOOD FILLER,GORILLA GLUE CO,Gorilla,$10.99,$7.99,$6.105
785770,6OZ GLD OAK WOOD FILLER,GORILLA GLUE CO,Gorilla,$10.99,$7.99,$6.105
798728,6OZ WHITE WOOD FILLER,GORILLA GLUE CO,Gorilla,$10.99,$7.99,$6.105
421171,ELONGATED BIDET SEAT,Brondell,Brondell,$99.99,$89.99,$66.419
451397,ROUND BIDET SEAT,Brondell,Brondell,$99.99,$89.99,$66.419
577628,X-LARGE MAGNETIC HIDER,LUCKY LINE,Lucky Line,$6.79,$3.99,$2.260
309397,6PC SCREWDRIVER SET,STANLEY TOOLS,Stanley,$14.29,$8.99,$7.974
713834,NAV SPINCAST COMBO,Pure Fishing,Shakespeare,$24.99,$17.49,$15.986
742447,SUSPENSION NXT MULTITOOL,GERBER LEGENDARY BLD,Gerber,$46.99,$39.99,$33.748
809020,100PSI COMPACT FOOT PUMP,BELL SPORTS  LLC,Bell Sports,$19.99,$13.99,$10.804
706713,12OZ HVYDTY WATERPROOFER,IMPLUS FOOT CARE LLC,Sof Sole,$14.99,$9.99,$7.505
716204,3PK PICKLEBALLS,Franklin Sports,Franklin,$11.99,$9.59,$8.126
755681,WOOD PADDLE BALL PADDLE,Franklin Sports,Franklin,$16.99,$11.99,$10.096
611242,JAM & JELLY MAKER,LEM Products,LEM,$139.99,$119.99,$106.967
629998,BATH CANNER,LEM Products,LEM,$189.99,$169.99,$143.822
619529,6PK PT JAR SAFECRATE,LEM Products,Roots & Harvest,$13.99,$11.99,$9.743
644792,6PK QT JAR SAFECRATE,LEM Products,Roots & Harvest,$16.99,$14.99,$12.174
647369,JELLY JAR SAFECRATE,LEM Products,Roots & Harvest,$24.99,$21.99,$18.474
477699,"6"" PLUNGER",Do it Best GS,Do it Best,$10.99,$5.99,$2.046
500641,"16"" BLACK PEDESTAL FAN",Vision Air A,Denali Aire,$34.99,$19.99,$16.174
559394,"16"" 3SPD OSC PEDSTL FAN",Vision Air A,Denali Aire,$34.99,$19.99,$16.174
500684,"13""BLK OCSLTNG TOWER FAN",LASKO PROD INC,Lasko,$44.99,$29.99,$25.829
532049,"36"" OSCL TOWR FAN W/RMT",LASKO PROD INC,Lasko,$72.99,$63.99,$57.647
548199,"12"" OSC WHT TABLE FAN",Vision Air A,Denali Aire,$27.99,$16.79,$13.801
605721,6-IN-1 CANNING FUNNEL,Masontops,Masontops,$11.99,$11.99,$8.997
600550,CAN/PICKLING VINEGAR,Midwest Distribution,Mrs. Wages,$5.79,$5.79,$5.206
610925,"24"" ROUGH SURF PSH BROOM",Libman,Libman,$32.99,$24.99,$19.777
609258,ADJ DEEP CLEAN MOP,E Cloth,E-Cloth,$38.99,$34.99,$21.517
603945,19OZ GLASS CLEANER,PLZ Corp,Sprayway,$3.79,$2.99,$2.692
630182,19OZ LAV GLASS CLEANER,PLZ Corp,Sprayway,$3.79,$2.99,$2.692
649373,19OZ LEM GLASS CLEANER,PLZ Corp,Sprayway,$3.79,$2.99,$2.692
622927,GOLDEN FLEECE CHORE BOY,KIK International,Chore Boy,$2.49,$1.79,$1.334
829478,4OZ VENISON SNACK STICK,Pearson Ranch Jerky,Pearson Ranch Jerky,$8.99,$6.99,$5.398
808051,4OZ ELK SNACK STICKS,Pearson Ranch Jerky,Pearson Ranch Jerky,$8.99,$6.99,$5.398
876370,3OZ DUCK SNACK STICK,Pearson Ranch Jerky,Pearson Ranch Jerky,$8.99,$6.99,$5.398
838754,4OZ VNSJLPNO SNACK STICK,Pearson Ranch Jerky,Pearson Ranch Jerky,$8.99,$6.99,$5.398
792208,MILDEWCIDE HOUSE CLEANER,RUSTOLEUM,Zinsser,$27.99,$19.99,$16.721
798275,1G FAST ACT DECK CLEANER,VALSPAR CORP,Valspar,$14.99,$10.99,$9.374
782206,1GAL ALL-IN-ONE WD PREP,VALSPAR CORP,Valspar,$14.99,$10.99,$9.374
799616,1GAL WOOD STRIPPER,VALSPAR CORP,Valspar,$22.99,$15.99,$13.476
556413,24KL STAND DBL WORKLIGHT,Channellock Products,Channellock,$189.99,$129.99,$119.728
569532,1000LM RCH HEADLAMP,Channellock Products,Channellock,$46.99,$29.99,$26.162
530367,1000LM RCH FLASHLIGHT,Channellock Products,Channellock,$49.99,$29.99,$22.465
562050,500L LED RCHRG WORKLIGHT,FEIT ELECTRIC,Feit Electric,$36.99,$24.99,$17.670
540107,5500L HYBRID WORKLIGHT,Channellock Products,Channellock,$79.99,$69.99,$49.162
567779,"65"" UNIVERSAL TRIPOD",Channellock Products,Channellock,$39.99,$29.99,$25.389
521885,50' 14/3 EXTENSION CORD,Channellock Products,Channellock,$59.99,$39.99,$35.344
521947,100' 14/3 EXTENSION CORD,Channellock Products,Channellock,$104.99,$69.99,$64.048
500230,25' 14/3 EXTENSION CORD,Channellock Products,Channellock,$42.99,$24.99,$19.979
872950,AA ALLN1 LED FLASHLIGHT,ENERGIZER,Energizer,$17.99,$12.99,$10.699
535205,2PK 250L RC LED HEADLAMP,NEBO ACG Brands,Nebo,$27.99,$17.99,$15.942
536897,"3PK 12""X1"" YLW QUK STRAP",Wrap-It Storage,Wrap-It Storage,$4.99,$3.99,$3.401
535659,"4PK 9""X1"" RED QUK STRAP",Wrap-It Storage,Wrap-It Storage,$4.99,$3.99,$3.401
352512,12GAL 5.0HP WET/DRY VAC,Channellock Products,Channellock,$124.99,$114.99,$72.315
394637,16OZ RIP CLAW HAMMER,STANLEY TOOLS,DEWALT,$28.99,$21.99,$19.921
346538,15 In. Jobsite Tool Bag,STANLEY TOOLS,DEWALT,$124.99,$99.99,$85.654
373080,2PC DG CUTTING PLIER SET,MILWAUKEE TOOL,Milwaukee,$67.99,$49.97,$43.229
300165,6 IN 1 ELEC WIRE PLIER,MILWAUKEE TOOL,Milwaukee,$21.49,$21.49,$17.985
344346,"1-1/4""X25' TAPE RULE",STANLEY TOOLS,Stanley,$24.99,$16.99,$14.044
705244,THM CTRL PRO 7PAT NOZZLE,ORBIT,Orbit,$16.99,$9.97,$7.524
345338,16' WIDE TAPE MEASURE,MILWAUKEE TOOL,Milwaukee,$24.99,$18.97,$15.875
715003,14'X14' BIRD NETTING,DALEN PRODUCTS INC,Dalen,$14.99,$9.97,$6.495
720412,3400SQFT MAX SPRINKLER,MELNOR Inc,Melnor,$14.99,$9.97,$8.191
303924,25 COMPACT AUTOLOCK TAPE,MILWAUKEE TOOL,Milwaukee,$19.99,$15.97,$11.906
315575,6PC SCREWDRIVER SET,MILWAUKEE TOOL,Milwaukee,$59.99,$49.97,$44.147
333539,6IN1 UTILITY KNIFE,MILWAUKEE TOOL,Milwaukee,$21.99,$15.97,$12.751
