Promotion Name: March Digital and Ecommerce,,,"Original Order Start: November 17, 2025",,,,
"Start Date: March 1, 2026",,,"Original Order Deadline: December 19, 2025",,,,
"End Date: March 31, 2026",,,"Reorder Start: February 20, 2026",,,,
Sale Code: GL,,,"Reorder Deadline: April 9, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GL,,,,,,,
SKU,Description,Brand,Vendor Name,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
749554,8QT N&O ERTHWRM CASTINGS,Black Gold,SUN GRO HORTICULTURE,$9.99,$7.99,$5.71,
109117,STONE DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.49,
114977,BLK DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.49,
119342,WHITE DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.49,
119350,BROWN DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49,$8.99,$7.49,
261193,12OZ MAX FILL FOAM SLNT,DAP,Dap Products Inc,$8.79,$5.99,$4.70,
261200,20OZ MAX FILL FOAM SLNT,DAP,Dap Products Inc,$14.29,$9.99,$7.95,
301212,20V/AC WET/DRY VAC,DEWALT,BLACK DECKER DEWALT,$199.99,$199.00,$165.72,
302251,OSCILLATING MULTI TOOL,DEWALT,BLACK DECKER DEWALT,$189.99,$179.99,$164.90,
306538,20V LED AREA WORK LIGHT,DEWALT,BLACK DECKER DEWALT,$59.00,$89.99,$74.13,
310208,20V POWERSTACK DRLL/DRVR,DEWALT,BLACK DECKER DEWALT,$329.99,$329.00,$270.76,
314065,6PC MULTI-TOOL BLADE KIT,Milwaukee,MILWAUKEE ACCESSORY,$57.99,$52.99,$35.00,
314583,14PC PP DRILL BIT SET,DEWALT,BLACK DECKER DEWALT,$26.49,$24.99,$20.14,
335246,"22"" CANTILEVER TOOLBOX",Channellock,Channellock Products,$47.99,$34.99,$30.44,
340009,"11A 4-1/2"" GRINDER",DEWALT,BLACK DECKER DEWALT,$109.99,$99.99,$91.85,
