Promotion Name: May Digital and Ecommerce,,,"Original Order Start: January 30, 2026",,,,
"Start Date: May 1, 2026",,,"Original Order Deadline: February 20, 2026",,,,
"End Date: May 31, 2026",,,"Reorder Start: April 24, 2026",,,,
Sale Code: GZ,,,"Reorder Deadline: June 11, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GZ,,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
723398,5M STEP2 WEED CTRL+LWN F,SCOTTS COMPANY,Scotts,$37.99,$35.00,$29.520,
723401,5M STEP3 LAWN FD+2% IRON,SCOTTS COMPANY,Scotts,$30.99,$27.00,$23.018,
723428,5M STEP 4 FALL LAWN FOOD,SCOTTS COMPANY,Scotts,$29.99,$25.99,$21.324,
723371,5M STEP1 CRABGRASS+LWN F,SCOTTS COMPANY,Scotts,$44.99,$32.00,$31.027,
723436,5M STEP 1 SEEDING FERT,SCOTTS COMPANY,Scotts,$59.99,$52.00,$47.054,
731710,15M STEP1 CRABGRSS+LWN F,SCOTTS COMPANY,Scotts,$97.99,$96.00,$89.317,
731701,15M STEP2 WEED CNTRL+LWN,SCOTTS COMPANY,Scotts,$79.99,$75.00,$69.696,
731694,15M STEP3 LAWN F+2% IRON,SCOTTS COMPANY,Scotts,$64.99,$59.00,$53.932,
731729,15M STEP4 FALL LAWN FOOD,SCOTTS COMPANY,Scotts,$64.99,$59.99,$51.127,
748059,8PAT RELAX GRIP NOZZLE,MELNOR Inc,Melnor,$12.99,$6.97,$5.366,
746304,12# EARTH WORM CASTINGS,ENCAP LLC,Earth Science,$24.99,$18.99,$13.104,
719156,4# EARTH WORM CASTINGS,ENCAP LLC,Earth Science,$13.99,$9.99,$5.893,
745925,25# SOIL GYPSUM PLUS,ENCAP LLC,Earth Science,$22.99,$18.99,$14.717,
740630,25# FAST ACTING LIME,ENCAP LLC,Earth Science,$21.99,$18.99,$13.811,
828650,CRWN 420 SHDW LP GRILL,Onward Multi Corp  D,Broil King,$699.99,$599.99,$515.869,
714741,2PK12OZ DWOFF REPELLENT,SC JOHNSON,OFF!,$15.99,$11.99,$10.765,
702035,"3/8""X50' SOAKER HOSE",ORBIT,Orbit,$22.99,$13.97,$11.194,
702039,"3/8""X100' SOAKER HOSE",ORBIT,Orbit,$36.99,$36.99,$27.990,
705405,WIDTH CONTROL OSCILLATOR,Lawn and Garden LLC,Gilmour,$27.99,$19.97,$16.779,
726080,7CUFT 600LB EVO CART,Tricam Industries,Gorilla Carts,$179.99,$149.97,$131.666,
755873,D-HDL RND PT SHOVEL,DO IT BEST GS,Do it Best,$29.99,$19.97,$14.058,
755877,D-HDL SQ PT SHOVEL,DO IT BEST GS,Do it Best,$32.99,$19.97,$14.058,
